"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"REICHELT";"SPICEPREFIX";
"1";"";"FE08-1";"FE08";"SV3";"FEMALE HEADER";"";"";"";"unknown";"unknown";"10";"";"";
"1";"";"FE10-2";"FE10-2";"SV4";"FEMALE HEADER";"";"";"";"unknown";"unknown";"0";"";"";
"2";"";"LEDSMT1206";"1206";"FAULT----, PWR-----";"LED";"";"645-599-0220-007F";"";"";"";"20";"";"";
"1";"";"SCHOTTKY-DIODESMC";"SMC";"D1";"Schottky Diode";"";"621-B540C-F ";"";"";"";"1";"";"";
"1";"";"SJ";"SJ";"SJ2";"SMD solder JUMPER";"";"";"";"";"";"33";"";"";
"5";".1u";"C-EUC0603";"C0603";"C11, C13, C16, C20, C22";"CAPACITOR, European symbol";"";"80-C1206C104K5R7210 ";"";"";"";"73";"";"C";
"3";"10k";"R-EU_R0603";"R0603";"R3, R4, R6";"RESISTOR, European symbol";"";"667-ERJ-3EKF1002V ";"";"";"";"70";"";"R";
"1";"10u";"C-EUC1210";"C1210";"C12";"CAPACITOR, European symbol";"";"187-CL32A106KLULNNE";"";"";"";"0";"";"C";
"4";"10uH";"DR125";"DR125";"L1, L2, L3, L4";"High Power Density, High Efficiency, Shielded Inductors";"";" 652-SRU1048-220Y 652-SRU1063A-220Y 652-SRR1260-220M";"";"";"";"1";"";"L";
"2";"1u";"C-EUC0603";"C0603";"C9, C10";"CAPACITOR, European symbol";"";"81-GRT188R61H105KE3D ";"";"";"";"73";"";"C";
"2";"2.2k";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"667-ERJ-3GEYJ222V ";"";"";"";"70";"";"R";
"4";"220n";"C-EUC1206";"C1206";"C1, C2, C3, C4";"CAPACITOR, European symbol";"";"80-C1206C224K5R7210 ";"";"";"";"54";"";"C";
"6";"220u";"CPOL-EU150CLZ-1010";"150CLZ-1010";"C14, C15, C17, C18, C19, C21";"POLARIZED CAPACITOR, European symbol";"";"667-EEE-FC1V331AP 667-35SVPK330M ";"";"";"";"0";"HC-V 220U 35";"C";
"1";"24Vbi";"SCHOTTKY-DIODESMC";"SMC";"TVS";"Schottky Diode";"";"710-824551241";"";"";"";"1";"";"";
"1";"4.7k";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"667-ERJ-U03J472V ";"";"";"";"70";"";"R";
"4";"680n";"C-EUC1206";"C1206";"C5, C6, C7, C8";"CAPACITOR, European symbol";"";"810-C3216X7R1H684K ";"";"";"";"54";"";"C";
"1";"Fuse";"L-EUL5650M";"L5650M";"L6";"INDUCTOR, European symbol";"";"650-ASMDC300F/24-2";"";"";"";"0";"";"L";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"IC1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"621-AZ1117CH2-33TRG1 ";"";"";"";"9";"";"";
"3";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"OUT-L, OUT-R, X3";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"";"14";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"7";"";"";
"1";"R-78E-0.5";"788TV";"TO220V";"IC2";"Positive VOLTAGE REGULATOR";"";"919-R-78E5.0-0.5 ";"";"";"";"0";"";"";
"1";"TAS5805M";"TAS5805M";"TSSOP28";"U$1";"";"";"595-TAS5805MPWP";"";"";"";"";"";"";
"1";"TL77005ACD";"TL77005ACD";"SO08";"IC3";"SUPPLY VOLTAGE SUPERVISORS TL7700A Series";"";"595-TL7705AIDR ";"";"";"";"0";"";"";
